,Bitcoin_Cash_OPEN,Bitcoin_Cash_HIGH,Bitcoin_Cash_LOW,Bitcoin_Cash_CLOSE,Bitcoin_Cash_Volume,Bitcoin_Cash_MarketCap,Bitcoin_Cash_MAvg_Open,Bitcoin_Cash_MAvg_Close,Bitcoin_Cash_Direction,Bitcoin_OPEN,Bitcoin_HIGH,Bitcoin_LOW,Bitcoin_CLOSE,Bitcoin_Volume,Bitcoin_MarketCap,Bitcoin_MAvg_Open,Bitcoin_MAvg_Close,Bitcoin_Direction,Bitconnect_OPEN,Bitconnect_HIGH,Bitconnect_LOW,Bitconnect_CLOSE,Bitconnect_Volume,Bitconnect_MarketCap,Bitconnect_MAvg_Open,Bitconnect_MAvg_Close,Bitconnect_Direction,Date,Dash_OPEN,Dash_HIGH,Dash_LOW,Dash_CLOSE,Dash_Volume,Dash_MarketCap,Dash_MAvg_Open,Dash_MAvg_Close,Dash_Direction,Date
0,555.89,578.97,411.78,413.06,85013.0,0.0,0.0,0.0,Decreasing,2808.1,2832.18,2653.94,2730.4,1072840000,46231100000.0,2771.7,2736.1,Decreasing,67.36,67.85,58.75,60.14,2132900.0,410971000.0,68.3,64.9,Decreasing,"Jul 23, 2017",195.02,195.74,187.26,191.03,31110400.0,1451390000.0,189.9,190.7,Decreasing,2017-07-23
1,412.58,578.89,409.21,440.7,190952.0,0.0,0.0,0.0,Increasing,2732.7,2777.26,2699.19,2754.86,866474000,44995600000.0,2736.5,2765.1,Increasing,61.33,68.22,58.44,67.02,3991940.0,374541000.0,65.3,64.8,Increasing,"Jul 24, 2017",191.11,216.62,187.29,204.02,90278800.0,1422690000.0,190.8,196.8,Increasing,2017-07-24
2,441.35,541.66,338.09,406.9,524908.0,0.0,469.9,420.2,Decreasing,2757.5,2768.08,2480.96,2576.48,1460090000,45410100000.0,2766.1,2687.2,Decreasing,67.01,67.01,60.14,63.65,3566120.0,413094000.0,65.2,63.6,Decreasing,"Jul 25, 2017",204.04,212.4,189.03,195.52,84970400.0,1519340000.0,196.7,196.9,Decreasing,2017-07-25
3,407.08,486.16,321.79,365.82,1784640.0,0.0,420.3,404.5,Decreasing,2577.77,2610.76,2450.8,2529.45,937404000,42455000000.0,2689.3,2620.3,Decreasing,63.57,64.46,60.63,62.68,3436370.0,398636000.0,64.0,64.4,Decreasing,"Jul 26, 2017",195.49,200.88,189.33,194.37,38380000.0,1456070000.0,196.9,198.0,Decreasing,2017-07-26
4,417.1,460.97,367.78,385.48,533207.0,0.0,421.8,386.1,Decreasing,2538.71,2693.32,2529.34,2671.78,789104000,41816500000.0,2624.7,2592.6,Increasing,63.01,66.09,62.21,65.09,3508340.0,395556000.0,64.5,63.8,Increasing,"Jul 27, 2017",195.08,199.43,192.47,194.09,26363200.0,1453370000.0,198.2,194.7,Decreasing,2017-07-27
5,386.65,465.18,217.06,406.05,1230160.0,0.0,403.6,385.8,Increasing,2679.73,2897.45,2679.73,2809.01,1380100000,44144400000.0,2598.7,2670.1,Increasing,65.28,69.94,64.79,69.28,4174750.0,410202000.0,64.0,65.7,Increasing,"Jul 28, 2017",194.0,196.91,181.57,185.61,30108800.0,1445720000.0,194.9,191.4,Decreasing,2017-07-28
6,410.56,423.73,323.73,384.77,737815.0,0.0,404.8,392.1,Decreasing,2807.02,2808.76,2692.8,2726.45,803746000,46246700000.0,2675.2,2735.7,Decreasing,69.08,69.23,64.04,64.96,2912860.0,434587000.0,65.8,66.4,Decreasing,"Jul 29, 2017",185.11,187.66,169.34,185.25,40505200.0,1379860000.0,191.4,188.3,Increasing,2017-07-29
7,385.14,385.14,316.25,345.66,606695.0,0.0,394.1,378.8,Decreasing,2724.39,2758.53,2644.85,2757.18,705943000,44890700000.0,2737.0,2764.2,Increasing,65.08,65.16,61.26,61.52,2147470.0,409831000.0,66.5,65.3,Decreasing,"Jul 30, 2017",185.45,187.95,172.47,172.82,25327200.0,1382710000.0,188.2,181.2,Decreasing,2017-07-30
8,346.36,347.82,266.19,294.46,1075960.0,0.0,380.7,341.6,Decreasing,2763.24,2889.62,2720.61,2875.34,860575000,45535800000.0,2764.9,2786.3,Increasing,61.29,66.64,57.91,66.14,1578510.0,386447000.0,65.1,64.2,Increasing,"Jul 31, 2017",173.15,180.05,171.76,178.51,29249300.0,1291390000.0,181.2,178.9,Increasing,2017-07-31
9,294.6,426.11,210.38,380.01,65988800.0,0.0,342.0,340.0,Increasing,2871.3,2921.35,2685.61,2718.26,1324670000,47321800000.0,2786.3,2783.6,Decreasing,65.98,66.14,41.09,52.44,261126.0,416441000.0,64.1,60.0,Decreasing,"Aug 01, 2017",179.2,186.23,177.26,184.75,34656300.0,1336810000.0,179.3,178.7,Increasing,2017-08-01
10,382.38,756.93,309.33,452.66,416207000.0,6302360000.0,341.1,375.7,Increasing,2727.13,2762.53,2668.59,2710.67,1094950000,44950800000.0,2787.2,2768.1,Decreasing,50.73,70.3,49.78,64.93,3277460.0,321857000.0,59.3,61.2,Increasing,"Aug 02, 2017",185.16,186.24,181.42,182.93,19076200.0,1381630000.0,179.2,182.1,Decreasing,2017-08-02
11,448.49,519.28,364.05,364.05,161518000.0,7392030000.0,375.2,398.9,Decreasing,2709.56,2813.31,2685.14,2804.73,804797000,44666400000.0,2769.3,2744.6,Increasing,65.09,69.85,64.73,69.35,4382480.0,413366000.0,60.6,62.2,Increasing,"Aug 03, 2017",183.17,189.19,180.28,186.99,25612400.0,1367150000.0,182.5,184.9,Increasing,2017-08-03
12,362.18,386.93,233.05,233.05,185038000.0,5969720000.0,397.7,349.9,Decreasing,2806.93,2899.33,2743.72,2895.89,1002120000,46276200000.0,2747.9,2803.8,Increasing,69.41,71.1,67.85,70.9,4766590.0,441261000.0,61.7,68.4,Increasing,"Aug 04, 2017",186.92,189.96,186.13,186.97,28791800.0,1395520000.0,185.1,185.6,Increasing,2017-08-04
13,231.11,273.04,200.98,213.15,144043000.0,3809330000.0,347.3,270.1,Decreasing,2897.63,3290.01,2874.83,3252.91,1945700000,47778200000.0,2804.7,2984.5,Increasing,70.72,80.61,70.72,79.13,4215220.0,450089000.0,68.4,73.1,Increasing,"Aug 05, 2017",186.96,195.55,185.73,193.83,41127900.0,1397060000.0,185.7,189.3,Increasing,2017-08-05
14,212.18,223.7,203.44,220.66,107606000.0,3497290000.0,268.5,222.3,Increasing,3257.61,3293.29,3155.6,3213.94,1105030000,53720900000.0,2987.4,3120.9,Decreasing,79.13,81.21,75.75,79.32,3382890.0,504140000.0,73.1,76.4,Increasing,"Aug 06, 2017",193.71,195.0,188.43,189.13,25336000.0,1447880000.0,189.2,190.0,Decreasing,2017-08-06
15,223.76,373.87,223.76,319.69,346546000.0,3688360000.0,222.4,251.2,Increasing,3212.78,3397.68,3180.89,3378.94,1482280000,52987300000.0,3122.7,3281.9,Increasing,79.2,84.9,78.36,83.05,4506370.0,505097000.0,76.3,80.5,Increasing,"Aug 07, 2017",189.07,197.91,187.05,197.19,32441600.0,1413570000.0,189.9,193.4,Increasing,2017-08-07
16,321.35,386.29,309.61,345.49,274880000.0,5297390000.0,252.4,295.3,Increasing,3370.22,3484.85,3345.83,3419.94,1752760000,55590300000.0,3280.2,3337.6,Increasing,83.13,87.32,83.03,86.51,8050680.0,530677000.0,80.5,83.0,Increasing,"Aug 08, 2017",196.58,205.5,194.97,203.84,35117200.0,1470120000.0,193.1,196.7,Increasing,2017-08-08
17,345.28,349.32,298.61,303.89,165032000.0,5691960000.0,296.8,323.0,Decreasing,3420.4,3422.76,3247.67,3342.47,1468960000,56424900000.0,3334.5,3380.5,Decreasing,86.45,86.89,83.16,85.91,6557630.0,552995000.0,82.9,85.2,Decreasing,"Aug 09, 2017",203.74,205.87,193.33,199.21,31657100.0,1524040000.0,196.5,200.1,Decreasing,2017-08-09
18,305.21,311.68,274.68,275.95,136637000.0,5031790000.0,323.9,308.4,Decreasing,3341.84,3453.45,3319.47,3381.28,1515110000,55134700000.0,3377.5,3381.2,Increasing,85.94,92.18,85.46,91.54,8170850.0,550213000.0,85.2,88.0,Increasing,"Aug 10, 2017",199.56,205.54,195.78,200.96,30972000.0,1493200000.0,200.0,201.3,Increasing,2017-08-10
