,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
0,0.0,2736.1,64.9,190.7,224.6,16.1,0.3,45.5,42.6,0.2,8.2,34.5,1.1,7.3,0.2,6.4,3.6
1,0.0,2765.1,64.8,196.8,226.7,16.1,0.3,45.0,44.3,0.2,8.6,34.4,1.3,7.1,0.2,6.2,3.7
2,420.2,2687.2,63.6,196.9,219.1,15.5,0.3,43.6,43.0,0.2,8.1,31.3,1.4,6.7,0.2,5.6,3.4
3,404.5,2620.3,64.4,198.0,211.8,15.2,0.3,43.0,44.0,0.2,7.7,29.3,1.3,6.5,0.2,5.2,3.1
4,386.1,2592.6,63.8,194.7,205.0,14.8,0.3,42.2,43.9,0.2,7.4,27.3,1.3,6.2,0.2,5.0,2.8
5,385.8,2670.1,65.7,191.4,200.5,14.5,0.3,41.7,45.0,0.2,7.3,26.7,1.3,6.1,0.2,4.9,2.8
6,392.1,2735.7,66.4,188.3,201.1,14.4,0.3,41.3,44.4,0.2,7.4,26.3,1.3,5.9,0.2,4.9,2.9
7,378.8,2764.2,65.3,181.2,199.0,14.1,0.3,40.7,42.5,0.2,7.2,25.9,1.2,5.7,0.2,4.9,2.9
8,341.6,2786.3,64.2,178.9,202.5,14.1,0.3,41.5,41.1,0.2,7.2,25.9,1.2,5.8,0.2,5.0,2.8
9,340.0,2783.6,60.0,178.7,209.5,14.1,0.3,42.2,41.2,0.2,7.4,26.0,1.3,6.0,0.2,5.3,2.8
10,375.7,2768.1,61.2,182.1,216.9,14.4,0.3,42.7,42.5,0.2,7.8,25.9,1.3,6.3,0.2,5.5,3.1
11,398.9,2744.6,62.2,184.9,224.0,14.9,0.3,42.7,43.7,0.2,8.9,26.5,1.6,6.9,0.2,5.8,3.5
12,349.9,2803.8,68.4,185.6,222.8,15.1,0.3,42.8,44.0,0.2,9.7,26.7,2.0,7.4,0.2,6.1,3.7
13,270.1,2984.5,73.1,189.3,235.0,15.4,0.4,44.4,45.7,0.2,11.7,27.7,2.8,8.4,0.2,6.6,3.9
14,222.3,3120.9,76.4,190.0,247.1,15.4,0.4,45.1,47.2,0.2,13.2,28.1,3.0,9.2,0.2,6.8,4.4
15,251.2,3281.9,80.5,193.4,262.4,15.5,0.4,45.9,48.9,0.3,16.0,28.5,3.2,10.7,0.2,7.2,5.1
16,295.3,3337.6,83.0,196.7,275.8,15.5,0.5,46.5,50.0,0.3,17.4,28.1,3.2,11.4,0.2,7.4,5.4
17,323.0,3380.5,85.2,200.1,287.3,15.5,0.5,47.5,51.0,0.3,19.6,28.4,3.4,12.2,0.2,7.7,5.4
18,308.4,3381.2,88.0,201.3,296.2,15.5,0.6,47.7,50.8,0.3,25.4,27.9,4.3,13.3,0.2,7.8,5.4
19,302.7,3458.1,92.1,202.0,300.3,15.2,0.6,47.2,50.4,0.3,30.5,29.8,5.5,14.4,0.2,7.7,5.5
20,307.1,3638.9,98.4,204.1,305.1,15.1,0.6,46.7,49.8,0.3,35.4,34.5,6.4,14.8,0.2,7.4,5.4
21,314.5,3869.5,102.3,203.1,305.8,14.8,0.7,46.4,49.3,0.3,38.9,37.9,6.8,14.6,0.2,7.0,5.1
22,304.3,4094.4,106.9,201.0,302.9,14.4,0.8,46.0,49.0,0.3,43.6,38.3,6.7,14.7,0.2,6.5,4.9
23,297.9,4193.4,109.4,200.4,296.0,14.0,0.9,45.0,48.7,0.3,47.2,34.2,6.9,15.0,0.2,6.2,4.8
24,298.6,4294.6,114.8,211.7,297.4,14.0,1.0,44.4,49.1,0.3,46.8,33.2,7.5,14.7,0.2,6.1,4.8
25,352.9,4296.8,116.5,223.1,297.8,13.9,1.0,43.8,48.3,0.3,44.6,32.9,8.0,14.0,0.2,6.1,4.7
