From Currency,To Currency,ExchangeRate
bitcoin,CAD,61340.01
bitcoin,CNY,314931.08
bitcoin,INR,3547429.49
bitcoin,USD,48474.8
bitcoin,YEN,5254910.69
dash,CAD,262.273
dash,CNY,1346.37
dash,INR,15165.71
dash,USD,207.24
dash,YEN,22465.85
bitcoin_cash,CAD,628.159
bitcoin_cash,CNY,3224.63
bitcoin_cash,INR,36322.7
bitcoin_cash,USD,496.34
bitcoin_cash,YEN,53805.74
bitconnect,CAD,6.374
bitconnect,CNY,32.72
bitconnect,INR,368.56
bitconnect,USD,5.04
bitconnect,YEN,546.36
ethereum,CAD,1980.06
ethereum,CNY,10164.56
ethereum,INR,846320.28
ethereum,USD,1564.77
ethereum,YEN,169628.89
iota,CAD,1.653
iota,CNY,8.49
iota,INR,95.63
iota,USD,1.31
iota,YEN,142.01
litecoin,CAD,230.2
litecoin,CNY,1181.72
litecoin,INR,13313.07
litecoin,USD,181.92
litecoin,YEN,19721.04
monero,CAD,254.84
monero,CNY,1308.21
monero,INR,14737.9
monero,USD,201.39
monero,YEN,21831.69
nem,CAD,0.95
nem,CNY,4.88
nem,INR,54.89
nem,USD,0.75
nem,YEN,81.3
neo,CAD,47.36
neo,CNY,243.12
neo,INR,2739.16
neo,USD,37.43
neo,YEN,4057.6
numeraire,CAD,50.081
numeraire,CNY,257.09
numeraire,INR,2895.89
numeraire,USD,39.57
numeraire,YEN,4289.76
omisego,CAD,7.13
omisego,CNY,36.6
omisego,INR,412.27
omisego,USD,5.63
omisego,YEN,610.73
qtum,CAD,8.016
qtum,CNY,41.15
qtum,INR,463.52
qtum,USD,6.33
qtum,YEN,686.2
ripple,CAD,0.591
ripple,CNY,3.03
ripple,INR,34.13
ripple,USD,0.47
ripple,YEN,50.95
stratis,CAD,1.161
stratis,CNY,5.96
stratis,INR,67.13
stratis,USD,0.92
stratis,YEN,99.73
waves,CAD,12.5
waves,CNY,64.17
waves,INR,723.03
waves,USD,9.88
waves,YEN,1071.04
