Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",728.99,738.74,685.04,685.04,126208000.00,5754970000.00
"Feb 19, 2018",687.7,731.11,687.22,728.73,89328600.00,5427640000.00
"Feb 18, 2018",744.09,747.42,673.57,689.28,96752600.00,5871020000.00
"Feb 17, 2018",699.13,748.89,693.64,742.16,116106000.00,5515090000.00
"Feb 16, 2018",702.53,722.02,684.28,698.86,100343000.00,5540570000.00
"Feb 15, 2018",679.79,705.67,667.21,703.86,116822000.00,5359910000.00
"Feb 14, 2018",593.59,685.12,593.59,678.98,138992000.00,4679080000.00
"Feb 13, 2018",622.12,625.75,583.4,595.47,73287300.00,4902660000.00
"Feb 12, 2018",582.83,626.77,582.83,620.56,76646200.00,4591910000.00
"Feb 11, 2018",633.43,633.43,561.91,580.02,81111400.00,4989410000.00
"Feb 10, 2018",639.42,672.16,604.84,634.1,116397000.00,5035300000.00
"Feb 09, 2018",606.76,638.33,577.45,637.82,93581200.00,4776920000.00
"Feb 08, 2018",520.91,609.47,520.91,605,90716700.00,4100000000.00
"Feb 07, 2018",524.7,584.48,493.67,521.99,79763600.00,4128770000.00
"Feb 06, 2018",454.17,533.55,383.97,528.5,114171000.00,3572920000.00
"Feb 05, 2018",545.32,553.6,435.42,451.43,78015400.00,4288890000.00
"Feb 04, 2018",637.01,649.37,533.99,549.96,80706600.00,5008820000.00
"Feb 03, 2018",589.17,645.85,533.25,637.37,83763700.00,4631430000.00
"Feb 02, 2018",616.62,616.62,453.43,586.88,143263000.00,4842830000.00
"Feb 01, 2018",698.79,704.55,582.21,617.04,109256000.00,5486820000.00
"Jan 31, 2018",678.93,699.31,654.86,697.46,97657100.00,5329560000.00
"Jan 30, 2018",767.73,781.68,675.32,676.91,112419000.00,6025040000.00
"Jan 29, 2018",811.84,818.31,747.13,767.69,114750000.00,6369620000.00
"Jan 28, 2018",777.05,815.91,767.28,812.24,122949000.00,6095130000.00
"Jan 27, 2018",782.87,788.67,753.37,773.84,115618000.00,6139280000.00
