Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",223.09,253.9,222.51,232.85,1739670000.00,12335100000.00
"Feb 19, 2018",215.41,226.97,215.38,223.06,767597000.00,11907900000.00
"Feb 18, 2018",230.51,232.64,214.46,215.74,1011120000.00,12738800000.00
"Feb 17, 2018",229.5,233.45,225.6,229.47,863401000.00,12679700000.00
"Feb 16, 2018",225.5,236.09,212.33,230.12,1300090000.00,12455300000.00
"Feb 15, 2018",212.35,237.88,211.17,225.43,2087290000.00,11725700000.00
"Feb 14, 2018",159.58,218.23,159.58,213.36,2383340000.00,8809590000.00
"Feb 13, 2018",161.78,162.37,153.51,159.55,483468000.00,8928360000.00
"Feb 12, 2018",150.1,163.35,150.1,161.57,535710000.00,8282050000.00
"Feb 11, 2018",155.39,155.73,142.61,148.99,495720000.00,8571530000.00
"Feb 10, 2018",163.49,169.33,149.14,155.59,576328000.00,9015890000.00
"Feb 09, 2018",149.73,163.98,142.59,163.95,722205000.00,8254980000.00
"Feb 08, 2018",138.34,151.08,138.34,149.47,869207000.00,7624630000.00
"Feb 07, 2018",142.48,157.9,131.52,138.2,817808000.00,7851100000.00
"Feb 06, 2018",127.52,146.11,106.94,142.99,1148410000.00,7024630000.00
"Feb 05, 2018",148.73,153.52,118.15,125.33,844678000.00,8190580000.00
"Feb 04, 2018",160.38,173.8,139.69,148.03,1006080000.00,8829970000.00
"Feb 03, 2018",131.4,165.56,121.17,160.25,687676000.00,7232410000.00
"Feb 02, 2018",142.56,142.56,105.35,131.38,815540000.00,7844710000.00
"Feb 01, 2018",163.68,165.81,131.55,142.3,539880000.00,9004330000.00
"Jan 31, 2018",165.3,167.07,157.65,163.35,363293000.00,9090870000.00
"Jan 30, 2018",181.44,181.52,163.03,165.28,433227000.00,9976170000.00
"Jan 29, 2018",193.75,194.39,179.23,181.66,303561000.00,10649800000.00
"Jan 28, 2018",181.42,194.68,181.42,193.87,363515000.00,9969420000.00
"Jan 27, 2018",176.66,183.15,174.88,180.89,291633000.00,9705020000.00
"Jan 26, 2018",179.82,182.89,167.08,176.73,375477000.00,9875590000.00
"Jan 25, 2018",181.56,185.42,176.35,180.27,363138000.00,9968750000.00
"Jan 24, 2018",178.43,186.28,173.72,179.99,375949000.00,9793780000.00
"Jan 23, 2018",180.28,186.31,165.73,177.81,441765000.00,9892990000.00
"Jan 22, 2018",191.79,195.25,166.88,180.01,494091000.00,10521900000.00
"Jan 21, 2018",211.24,211.24,184.64,190.42,463516000.00,11585700000.00
"Jan 20, 2018",194.38,214.59,194.38,211.02,540786000.00,10658300000.00
"Jan 19, 2018",191.19,202.07,186.94,192.96,560284000.00,10480800000.00
"Jan 18, 2018",186.95,207.02,176.83,192.84,936784000.00,10245500000.00
"Jan 17, 2018",190.15,197.79,141.01,186.52,1422490000.00,10417800000.00
"Jan 16, 2018",232.82,232.82,152.29,188.33,1405070000.00,12752100000.00
"Jan 15, 2018",237.29,245,232.77,232.77,601770000.00,12993700000.00
"Jan 14, 2018",260.58,270.85,234.27,238.68,886415000.00,14265000000.00
"Jan 13, 2018",236.88,263.19,236.88,259.19,961043000.00,12964300000.00
"Jan 12, 2018",229.79,243.59,224.82,236.86,691160000.00,12572900000.00
"Jan 11, 2018",251.52,255.05,223,229.37,1079390000.00,13758400000.00
"Jan 10, 2018",248.07,251.05,233.86,250.52,1009910000.00,13566300000.00
"Jan 09, 2018",254.61,258.5,240.18,247.04,940825000.00,13920200000.00
"Jan 08, 2018",287.73,289.07,237.66,255.76,1182080000.00,15726800000.00
"Jan 07, 2018",296.05,305.53,281.93,288.45,1055400000.00,16178100000.00
"Jan 06, 2018",249.77,323.12,249.41,296.45,2264740000.00,13645300000.00
"Jan 05, 2018",241.03,256.15,237.88,249.27,1710600000.00,13164800000.00
"Jan 04, 2018",245.47,245.47,227.01,241.37,3481550000.00,13403400000.00
"Jan 03, 2018",255.69,260.74,243.13,245.37,3215280000.00,13957800000.00
"Jan 02, 2018",228.99,263.63,228.99,255.68,1237950000.00,12496900000.00
"Jan 01, 2018",231.67,236.63,222.2,229.03,633142000.00,12639700000.00
"Dec 31, 2017",216.97,237.79,213.81,232.1,771042000.00,11835100000.00
"Dec 30, 2017",245.09,245.43,208.2,218.96,943667000.00,13364800000.00
"Dec 29, 2017",250.35,258.04,238.33,245.5,1392210000.00,13648200000.00
"Dec 28, 2017",272.13,273.18,231.38,249.93,2593240000.00,14831200000.00
"Dec 27, 2017",286.59,290.94,264.42,272.17,777138000.00,15615200000.00
"Dec 26, 2017",273.11,289.51,272.26,286.5,842993000.00,14876400000.00
"Dec 25, 2017",277.49,286.79,269.57,273.39,804377000.00,15111400000.00
"Dec 24, 2017",291.01,291.01,251.04,275.98,1122910000.00,15842900000.00
