Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",317,321.73,303.79,304.4,71114700.00,4989710000.00
"Feb 19, 2018",299.7,319.73,297.65,316.49,67482400.00,4716460000.00
"Feb 18, 2018",325.96,327.77,294.42,300.12,68135100.00,5128420000.00
"Feb 17, 2018",296,334.71,293.13,325.67,134269000.00,4655820000.00
"Feb 16, 2018",301.01,302.1,280.22,296.48,64320200.00,4733640000.00
"Feb 15, 2018",276.08,304.78,269.32,303.25,85772700.00,4340620000.00
"Feb 14, 2018",234.34,276.66,234.34,276.66,116137000.00,3683460000.00
"Feb 13, 2018",247.99,248.88,230.03,234.69,46476400.00,3897150000.00
"Feb 12, 2018",229.87,251.41,229.87,247.57,45760100.00,3611420000.00
"Feb 11, 2018",249.44,249.44,219.23,229.49,51680100.00,3917970000.00
"Feb 10, 2018",260.59,271.82,243.91,250.03,76435300.00,4092070000.00
"Feb 09, 2018",247.82,260.84,233.44,260.43,77557200.00,3890810000.00
"Feb 08, 2018",207.78,253.12,207.78,247.22,81312200.00,3261220000.00
"Feb 07, 2018",210.73,231.25,191.86,207.28,64730900.00,3306780000.00
"Feb 06, 2018",180.87,213.46,149.41,212.29,100344000.00,2837430000.00
"Feb 05, 2018",219.04,221.74,167.14,179.49,77454500.00,3435450000.00
"Feb 04, 2018",251.97,257.39,214.79,221.05,48981700.00,3951030000.00
"Feb 03, 2018",236.51,256.98,215.6,251.59,55887100.00,3707610000.00
"Feb 02, 2018",240.84,249.27,184.94,235.63,122696000.00,3774700000.00
"Feb 01, 2018",273.88,279.78,228.39,240.97,73082700.00,4291340000.00
"Jan 31, 2018",274.9,284.02,265.28,272.89,67649500.00,4306290000.00
"Jan 30, 2018",317.36,318.01,268.68,274.02,93182600.00,4970190000.00
"Jan 29, 2018",331.77,336.69,314.05,316.63,55323000.00,5194670000.00
"Jan 28, 2018",322.96,337.16,322.96,332.17,75700900.00,5055340000.00
"Jan 27, 2018",325.31,332.83,310.44,321.36,66614100.00,5090880000.00
"Jan 26, 2018",316.6,328.78,292.48,323.69,91052800.00,4953260000.00
"Jan 25, 2018",322.17,328,306.59,317.1,76537300.00,5039370000.00
"Jan 24, 2018",308.93,323.19,299.46,317.4,92263600.00,4830950000.00
"Jan 23, 2018",315.31,321.69,285.61,308.46,116898000.00,4929480000.00
"Jan 22, 2018",348.91,356.04,288.79,315.9,116893000.00,5453550000.00
"Jan 21, 2018",384.53,389.11,336.01,345.08,126395000.00,6008720000.00
"Jan 20, 2018",367.63,403.49,358.77,383.79,240595000.00,5743450000.00
"Jan 19, 2018",314.13,367.96,309.54,364.62,199852000.00,4906340000.00
"Jan 18, 2018",320.6,347.11,303.35,316.47,152851000.00,5005990000.00
"Jan 17, 2018",318.93,332.12,240.36,319.19,192937000.00,4978850000.00
"Jan 16, 2018",415.93,418.99,261.2,320.04,283036000.00,6491450000.00
"Jan 15, 2018",396.02,444.34,392.37,414.57,264782000.00,6179110000.00
"Jan 14, 2018",420.34,444.01,384.31,399.52,180678000.00,6556930000.00
"Jan 13, 2018",393.04,433.35,393.04,420.05,248705000.00,6129540000.00
"Jan 12, 2018",358.62,394.78,347.32,394.78,158189000.00,5591320000.00
"Jan 11, 2018",406.08,415.9,346.69,355.59,187722000.00,6329790000.00
"Jan 10, 2018",413.25,419.06,370.52,407.74,265152000.00,6439820000.00
"Jan 09, 2018",403.71,447.61,398.53,413.33,522438000.00,6289410000.00
"Jan 08, 2018",458.35,469.7,357.54,405.07,220924000.00,7139010000.00
"Jan 07, 2018",456.15,495.84,453.39,459.33,262443000.00,7103000000.00
"Jan 06, 2018",385.37,452.77,380.21,452.77,235391000.00,5999260000.00
"Jan 05, 2018",402.38,407.04,373.89,384.94,182618000.00,6262550000.00
"Jan 04, 2018",414.41,419.72,383.54,403.05,166108000.00,6448110000.00
"Jan 03, 2018",382.74,418.26,378.86,412.06,180190000.00,5953920000.00
"Jan 02, 2018",359.06,387.79,359.06,383.42,224769000.00,5582210000.00
"Jan 01, 2018",349.55,363.79,336.98,358.99,110244000.00,5434340000.00
"Dec 31, 2017",329,356.77,327.41,349.03,101667000.00,5113910000.00
"Dec 30, 2017",378.52,378.52,319.61,330.8,140463000.00,5882180000.00
"Dec 29, 2017",381.3,387.56,358.07,377.37,173825000.00,5921340000.00
"Dec 28, 2017",422.51,422.51,359.49,378.9,162717000.00,6561210000.00
"Dec 27, 2017",381.3,442.6,381.3,421.85,250742000.00,5920710000.00
"Dec 26, 2017",361.08,384.77,357.27,381.54,161342000.00,5605310000.00
"Dec 25, 2017",339.69,365.87,323.2,360.78,119632000.00,5271820000.00
"Dec 24, 2017",391.01,391.01,297.09,337.06,134675000.00,6062810000.00
"Dec 23, 2017",349.76,417.65,344.38,382.04,190117000.00,5423160000.00
"Dec 22, 2017",419.53,423.42,255.67,346.11,334617000.00,6504920000.00
"Dec 21, 2017",470.29,470.29,390.55,417.98,354021000.00,7291030000.00
"Dec 20, 2017",375.71,476.4,329.95,469.2,498648000.00,5823300000.00
"Dec 19, 2017",381.07,406.03,346.94,377.24,317292000.00,5904690000.00
"Dec 18, 2017",353.07,381.51,332.09,381.51,217306000.00,5469410000.00
"Dec 17, 2017",328.06,365.24,327.27,351.37,278705000.00,5078920000.00
"Dec 16, 2017",312.61,331.54,311.71,327.32,164861000.00,4839760000.00
"Dec 15, 2017",325.61,326.08,296.08,312.32,163054000.00,5039870000.00
"Dec 14, 2017",303.26,335.53,301.4,325.21,261053000.00,4692810000.00
"Dec 13, 2017",307.43,330.35,284.74,305.75,248583000.00,4749580000.00
"Dec 12, 2017",281.49,319.9,281.19,308.07,271786000.00,4348820000.00
"Dec 11, 2017",244.95,281.03,244.14,279.67,152497000.00,3784310000.00
"Dec 10, 2017",262.9,262.9,220.77,245.33,142120000.00,4061590000.00
"Dec 09, 2017",277.27,281.4,250.39,262.53,161152000.00,4283550000.00
"Dec 08, 2017",281.31,284.86,250.65,276.74,201497000.00,4346000000.00
"Dec 07, 2017",277.87,300.32,263.17,280.86,299528000.00,4291850000.00
"Dec 06, 2017",268.16,316.67,260.61,278.69,543884000.00,4140770000.00
"Dec 05, 2017",211.13,272.64,208.89,269.48,352326000.00,3258360000.00
"Dec 04, 2017",199.56,210.24,192.04,210.24,74534400.00,3079850000.00
"Dec 03, 2017",203.37,209.09,191.25,200.05,111303000.00,3137680000.00
"Dec 02, 2017",190.83,205.26,186.68,203.03,80791100.00,2943520000.00
"Dec 01, 2017",179.72,191.85,169.76,190.94,70430500.00,2771380000.00
"Nov 30, 2017",170.49,195.39,156.53,180.14,128112000.00,2627490000.00
"Nov 29, 2017",203.91,214.28,165.33,168.15,178828000.00,3142680000.00
"Nov 28, 2017",175.35,203.21,173.17,203.21,179179000.00,2701720000.00
"Nov 27, 2017",162.92,173.39,159.95,173.39,81489700.00,2509520000.00
"Nov 26, 2017",168.57,168.72,159.76,163.37,61100400.00,2595920000.00
"Nov 25, 2017",160,170.1,160,168.44,64076700.00,2463190000.00
"Nov 24, 2017",158.62,162.94,156.76,160.03,69178000.00,2441330000.00
"Nov 23, 2017",166.11,172.92,156.45,158.61,109392000.00,2555950000.00
"Nov 22, 2017",142.08,173.45,141.14,165.95,189472000.00,2184930000.00
"Nov 21, 2017",136.1,142.21,131.37,141.74,72701500.00,2093010000.00
"Nov 20, 2017",129.5,140.55,128.49,135.76,59945400.00,1990900000.00
"Nov 19, 2017",130.72,133.62,127.21,129.48,42133000.00,2009180000.00
"Nov 18, 2017",126.59,135.01,123.53,130.8,62156400.00,1945200000.00
"Nov 17, 2017",120.02,126.7,119.25,126.7,47127700.00,1843600000.00
"Nov 16, 2017",121.24,128.09,118.5,120.31,74944100.00,1861940000.00
"Nov 15, 2017",122.24,124.72,119.19,121.37,49976700.00,1876740000.00
