Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",0.529133,0.529133,0.481098,0.484397,66039700.00,4762190000.00
"Feb 19, 2018",0.528994,0.537727,0.518834,0.529261,91007400.00,4760950000.00
"Feb 18, 2018",0.595298,0.595298,0.527599,0.530407,95781300.00,5357680000.00
"Feb 17, 2018",0.565686,0.602952,0.560204,0.59888,147788000.00,5091170000.00
"Feb 16, 2018",0.560086,0.598202,0.548458,0.568887,90028500.00,5040780000.00
"Feb 15, 2018",0.569045,0.588881,0.544115,0.561359,67295600.00,5121400000.00
"Feb 14, 2018",0.53192,0.570553,0.528626,0.570005,73477500.00,4787280000.00
"Feb 13, 2018",0.560197,0.567745,0.52682,0.533186,36379100.00,5041770000.00
"Feb 12, 2018",0.532219,0.561441,0.530871,0.557894,22479700.00,4789980000.00
"Feb 11, 2018",0.589823,0.589823,0.514947,0.52864,28515100.00,5308410000.00
"Feb 10, 2018",0.598384,0.64492,0.55753,0.590511,74166200.00,5385460000.00
"Feb 09, 2018",0.544268,0.590486,0.517372,0.590486,60340000.00,4898410000.00
"Feb 08, 2018",0.536245,0.594279,0.525279,0.543094,42640900.00,4826200000.00
"Feb 07, 2018",0.582114,0.617025,0.52197,0.536718,59231300.00,5239020000.00
"Feb 06, 2018",0.455961,0.5842,0.397361,0.5842,50311400.00,4103650000.00
"Feb 05, 2018",0.54898,0.559763,0.44034,0.449672,28590400.00,4940820000.00
"Feb 04, 2018",0.627271,0.664819,0.536007,0.55087,41394700.00,5645440000.00
"Feb 03, 2018",0.584534,0.652762,0.512837,0.628795,42520900.00,5260800000.00
"Feb 02, 2018",0.613639,0.621158,0.440361,0.582652,54511900.00,5522750000.00
"Feb 01, 2018",0.791554,0.804491,0.614392,0.618265,46639300.00,7123980000.00
"Jan 31, 2018",0.785675,0.787938,0.737936,0.779857,50105100.00,7071080000.00
"Jan 30, 2018",0.935732,0.935732,0.776117,0.776491,47194000.00,8421590000.00
"Jan 29, 2018",1.03,1.03,0.923629,0.935431,47381700.00,9253430000.00
"Jan 28, 2018",1.06,1.06,1.01,1.03,83612400.00,9506630000.00
