Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",1.14,1.17,1.08,1.09,806673000.00,44648100000.00
"Feb 19, 2018",1.12,1.17,1.12,1.14,556304000.00,43813300000.00
"Feb 18, 2018",1.2,1.21,1.09,1.12,1113650000.00,46997500000.00
"Feb 17, 2018",1.14,1.22,1.13,1.2,1186730000.00,44370200000.00
"Feb 16, 2018",1.14,1.15,1.11,1.14,568339000.00,44663300000.00
"Feb 15, 2018",1.14,1.16,1.11,1.15,1188530000.00,44433600000.00
"Feb 14, 2018",1.03,1.17,1.02,1.14,1457600000.00,40026500000.00
"Feb 13, 2018",1.08,1.08,1.01,1.03,921100000.00,42119800000.00
"Feb 12, 2018",1.01,1.11,1.01,1.08,1756290000.00,39262700000.00
"Feb 11, 2018",1.07,1.08,0.929767,1,2555310000.00,41635500000.00
"Feb 10, 2018",0.947251,1.3,0.947251,1.07,4682010000.00,36951500000.00
"Feb 09, 2018",0.79714,0.954428,0.77154,0.954428,1690340000.00,31095800000.00
"Feb 08, 2018",0.729252,0.80697,0.722611,0.805263,947315000.00,28447500000.00
"Feb 07, 2018",0.774576,0.805478,0.70695,0.723895,1133370000.00,30215600000.00
"Feb 06, 2018",0.705121,0.786004,0.58836,0.776393,2361140000.00,27506200000.00
"Feb 05, 2018",0.825943,0.833866,0.675827,0.691799,1286180000.00,32219400000.00
"Feb 04, 2018",0.913418,0.952947,0.796821,0.815703,1190960000.00,35631700000.00
"Feb 03, 2018",0.891992,0.974799,0.761635,0.924043,1988960000.00,34795900000.00
"Feb 02, 2018",0.960642,0.960642,0.635185,0.884784,3529760000.00,37473900000.00
"Feb 01, 2018",1.16,1.16,0.930378,0.96253,1410420000.00,44971500000.00
"Jan 31, 2018",1.13,1.19,1.04,1.16,1264030000.00,43800800000.00
"Jan 30, 2018",1.33,1.33,1.13,1.14,1134640000.00,51452400000.00
"Jan 29, 2018",1.4,1.41,1.3,1.32,1073680000.00,54204300000.00
"Jan 28, 2018",1.22,1.44,1.22,1.4,1327360000.00,47412500000.00
"Jan 27, 2018",1.22,1.24,1.19,1.22,689101000.00,47180200000.00
"Jan 26, 2018",1.31,1.33,1.14,1.22,2037570000.00,50706400000.00
"Jan 25, 2018",1.36,1.38,1.29,1.31,986068000.00,52811100000.00
"Jan 24, 2018",1.35,1.42,1.31,1.36,1853440000.00,52380100000.00
"Jan 23, 2018",1.35,1.43,1.2,1.34,2977080000.00,52421300000.00
"Jan 22, 2018",1.39,1.43,1.16,1.36,2642510000.00,53909800000.00
"Jan 21, 2018",1.58,1.58,1.34,1.38,2840750000.00,61061900000.00
"Jan 20, 2018",1.56,1.63,1.5,1.58,2346450000.00,60543000000.00
"Jan 19, 2018",1.58,1.7,1.5,1.55,3697430000.00,61291900000.00
"Jan 18, 2018",1.31,1.73,1.26,1.6,9110440000.00,50577100000.00
"Jan 17, 2018",1.18,1.38,0.897797,1.31,7251210000.00,45854700000.00
"Jan 16, 2018",1.68,1.7,0.909313,1.18,5687960000.00,65018400000.00
"Jan 15, 2018",1.86,1.9,1.67,1.68,1838460000.00,71909400000.00
"Jan 14, 2018",2.02,2.02,1.81,1.86,1978200000.00,78195800000.00
"Jan 13, 2018",2.05,2.12,1.98,2.02,2130170000.00,79469700000.00
"Jan 12, 2018",1.94,2.16,1.87,2.04,3330810000.00,75172500000.00
"Jan 11, 2018",1.98,2.25,1.62,1.95,6296120000.00,76711800000.00
"Jan 10, 2018",2.13,2.16,1.7,1.97,4833640000.00,82511000000.00
"Jan 09, 2018",2.44,2.53,1.98,2.1,3694700000.00,94657500000.00
"Jan 08, 2018",3.36,3.36,2.07,2.46,3315260000.00,130302000000.00
"Jan 07, 2018",3.09,3.49,3.08,3.38,2395150000.00,119819000000.00
"Jan 06, 2018",3.02,3.24,2.99,3.09,2777560000.00,117033000000.00
"Jan 05, 2018",3.3,3.56,2.83,3.05,6288500000.00,127870000000.00
"Jan 04, 2018",3.12,3.84,3.12,3.2,8103660000.00,120763000000.00
"Jan 03, 2018",2.46,3.28,2.44,3.11,6635880000.00,95457200000.00
"Jan 02, 2018",2.37,2.49,2.25,2.48,3171010000.00,91791800000.00
"Jan 01, 2018",2.3,2.39,2.15,2.39,1894230000.00,88945900000.00
"Dec 31, 2017",2.1,2.39,1.87,2.3,4642080000.00,81162600000.00
"Dec 30, 2017",2.2,2.85,2.04,2.16,8108390000.00,85187400000.00
"Dec 29, 2017",1.44,2.27,1.44,2.21,7545740000.00,55767500000.00
"Dec 28, 2017",1.39,1.5,1.26,1.43,2843300000.00,53998200000.00
"Dec 27, 2017",1.18,1.47,1.18,1.4,2854260000.00,45875700000.00
"Dec 26, 2017",1.12,1.19,1.09,1.19,938847000.00,43455400000.00
"Dec 25, 2017",1.05,1.13,1,1.12,686014000.00,40506000000.00
"Dec 24, 2017",1.18,1.18,0.911226,1.04,754959000.00,45541100000.00
"Dec 23, 2017",1.17,1.21,1.08,1.17,1497590000.00,45167600000.00
"Dec 22, 2017",1.17,1.38,0.741013,1.14,4644700000.00,45189500000.00
"Dec 21, 2017",0.782515,1.24,0.782515,1.19,3626110000.00,30314000000.00
"Dec 20, 2017",0.787171,0.789044,0.730953,0.775964,1007420000.00,30494300000.00
"Dec 19, 2017",0.777447,0.863536,0.756724,0.791257,1449670000.00,30117600000.00
"Dec 18, 2017",0.728036,0.792014,0.689323,0.778407,1342720000.00,28203500000.00
"Dec 17, 2017",0.754125,0.765981,0.719929,0.728366,805200000.00,29214200000.00
"Dec 16, 2017",0.755493,0.815923,0.741667,0.758642,1334770000.00,29267100000.00
"Dec 15, 2017",0.86176,0.86176,0.666114,0.756181,3194210000.00,33383900000.00
"Dec 14, 2017",0.470648,0.892267,0.466401,0.864263,6358700000.00,18232500000.00
"Dec 13, 2017",0.372689,0.513768,0.342964,0.471063,2738760000.00,14437600000.00
"Dec 12, 2017",0.252258,0.434102,0.250961,0.373541,1555040000.00,9772240000.00
"Dec 11, 2017",0.236574,0.252777,0.235804,0.251691,176101000.00,9164670000.00
"Dec 10, 2017",0.245548,0.245548,0.229304,0.237333,198174000.00,9512330000.00
"Dec 09, 2017",0.252162,0.255684,0.240073,0.244708,205289000.00,9768540000.00
"Dec 08, 2017",0.223636,0.278673,0.222168,0.252125,660172000.00,8663460000.00
