Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",3.97,4.16,3.44,3.52,157912.00,36680600.00
"Feb 19, 2018",3.69,4.15,3.62,3.95,108297.00,34058900.00
"Feb 18, 2018",4.34,4.34,3.66,3.7,150823.00,40037400.00
"Feb 17, 2018",4.08,4.38,4.01,4.31,185105.00,37708600.00
"Feb 16, 2018",4.06,4.19,3.87,4.13,149639.00,37459600.00
"Feb 15, 2018",3.86,4.3,3.7,4.04,157578.00,35618900.00
"Feb 14, 2018",3.05,5.52,3.05,3.73,385193.00,28162900.00
"Feb 13, 2018",3,3.19,2.83,3.03,111873.00,27695200.00
"Feb 12, 2018",2.24,3.12,2.23,3.01,198019.00,20673000.00
"Feb 11, 2018",2.35,2.39,2.12,2.25,76175.00,21665700.00
"Feb 10, 2018",2.19,2.64,2.19,2.39,152689.00,20226800.00
"Feb 09, 2018",2.34,2.35,2.09,2.19,168616.00,21567800.00
"Feb 08, 2018",2.42,2.81,2.26,2.34,211125.00,22272200.00
"Feb 07, 2018",5.54,5.54,2.14,2.46,792071.00,51017500.00
"Feb 06, 2018",4.31,5.59,3.72,5.58,302712.00,39655600.00
"Feb 05, 2018",5.49,5.64,4.18,4.29,194631.00,50518800.00
"Feb 04, 2018",6.55,6.63,5.26,5.54,309371.00,60272400.00
"Feb 03, 2018",6.7,6.91,6,6.51,317398.00,61616000.00
"Feb 02, 2018",8.91,8.93,5.55,6.69,692302.00,81947000.00
"Feb 01, 2018",8.59,13.14,8.51,8.89,5672460.00,79051200.00
"Jan 31, 2018",5.97,10.11,5.55,8.73,3657210.00,54933300.00
"Jan 30, 2018",7,7.05,5.75,6.01,883703.00,64358900.00
"Jan 29, 2018",8.27,8.35,7.01,7.01,1171150.00,76009800.00
"Jan 28, 2018",10.64,11.24,8.21,8.32,1950330.00,97814400.00
"Jan 27, 2018",11.17,11.29,10.48,10.53,994843.00,102654000.00
"Jan 26, 2018",12.57,12.92,10.59,11.18,1600520.00,115488000.00
"Jan 25, 2018",12.8,15.97,9.46,12.59,5376800.00,117579000.00
"Jan 24, 2018",15.94,15.94,12.5,13.26,2406960.00,146393000.00
"Jan 23, 2018",16.69,17.08,15.08,16.05,1771300.00,153213000.00
"Jan 22, 2018",18.08,19.2,15.64,16.76,2758110.00,165872000.00
"Jan 21, 2018",21.72,21.97,16.05,17.86,5865730.00,199200000.00
"Jan 20, 2018",29.33,30.98,21.76,21.81,7054180.00,268947000.00
"Jan 19, 2018",35.68,41.94,24.56,29.11,18658000.00,327092000.00
"Jan 18, 2018",23.84,82.43,22.79,37.68,57434000.00,187904000.00
"Jan 17, 2018",21.7,44.59,5.69,22.48,24796900.00,136694000.00
"Jan 16, 2018",255.91,331.06,19.28,19.28,5920560.00,1601140000.00
"Jan 15, 2018",290.84,304.5,240.19,256.07,2261840.00,1818670000.00
"Jan 14, 2018",318.31,321.25,281.03,293.36,4351920.00,1976960000.00
"Jan 13, 2018",322.83,328.83,313.9,318.02,14232700.00,2003960000.00
"Jan 12, 2018",300.1,328.78,289.78,322.98,23119700.00,1862040000.00
"Jan 11, 2018",324.83,328.61,281.29,302.19,27349500.00,2008750000.00
"Jan 10, 2018",353.65,353.65,311.02,327.27,25960000.00,2185870000.00
"Jan 09, 2018",360.25,371.85,343.2,353.23,22227900.00,2225580000.00
"Jan 08, 2018",375.03,382.83,335.59,361.85,19204000.00,2315860000.00
"Jan 07, 2018",449.02,449.02,372.9,376.96,21804900.00,2770550000.00
"Jan 06, 2018",402.66,451.29,394,449.47,24776400.00,2482510000.00
"Jan 05, 2018",428.6,429.67,397.46,402.82,36359800.00,2641470000.00
"Jan 04, 2018",450.46,451.06,409.01,428.53,24251600.00,2774750000.00
