Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",24.47,29.84,23.59,23.84,1697590.00,31586100.00
"Feb 19, 2018",20.37,27.24,20.28,24.42,1940870.00,26292900.00
"Feb 18, 2018",22.69,23.78,20.43,20.43,145246.00,29298400.00
"Feb 17, 2018",21.24,23.32,20.99,23.25,212041.00,27463300.00
"Feb 16, 2018",22.06,22.68,20.55,21.25,106464.00,28525200.00
"Feb 15, 2018",22.04,23.17,21.13,22.16,186324.00,28493800.00
"Feb 14, 2018",20.37,22.31,19.81,22.1,382246.00,26338300.00
"Feb 13, 2018",21.73,22.22,20.18,20.18,284117.00,28094400.00
"Feb 12, 2018",18.43,24.17,17.81,21.98,1239570.00,23825800.00
"Feb 11, 2018",19.85,20.74,16.24,18.31,596317.00,25660900.00
"Feb 10, 2018",16.17,21.7,15.41,19.39,1233990.00,20936000.00
"Feb 09, 2018",15.57,16.65,14.43,16.16,243876.00,20163900.00
"Feb 08, 2018",15.49,16.81,15.39,15.53,259982.00,20063700.00
"Feb 07, 2018",15.02,18.17,14.15,15.84,256991.00,19444500.00
"Feb 06, 2018",13.37,15.49,11.71,15.15,450845.00,17313100.00
"Feb 05, 2018",15.65,15.95,12.8,13.35,198028.00,20267000.00
"Feb 04, 2018",20.01,20.01,14.92,15.8,195834.00,25913800.00
"Feb 03, 2018",17.98,21,16.89,19.95,541258.00,23299200.00
"Feb 02, 2018",18.96,19.13,13.82,17.77,616822.00,24571300.00
"Feb 01, 2018",21.65,23.33,17.69,19.01,462444.00,28049100.00
"Jan 31, 2018",22.45,22.86,21.17,21.6,331054.00,29089000.00
"Jan 30, 2018",26.89,29.73,21.97,22.64,1308300.00,34838200.00
"Jan 29, 2018",29.62,29.72,26.55,26.88,244029.00,38386000.00
"Jan 28, 2018",28.89,30.4,27.57,29.65,653506.00,37431100.00
"Jan 27, 2018",26.56,32.78,25.18,28.68,2537640.00,34417900.00
"Jan 26, 2018",27.79,28.39,25.32,26.59,225736.00,36013400.00
"Jan 25, 2018",28.87,29.91,25.87,27.87,390559.00,37406300.00
"Jan 24, 2018",27.11,30.32,26.12,28.27,537748.00,35126400.00
"Jan 23, 2018",27.43,28.75,24.66,27.12,341714.00,35551000.00
"Jan 22, 2018",27.34,30.37,25.5,27.4,729378.00,35425300.00
"Jan 21, 2018",34.62,38.42,26.66,27.54,2894980.00,44860700.00
"Jan 20, 2018",33.88,36.08,32.67,34.45,849290.00,43914600.00
"Jan 19, 2018",32.79,35.52,29.57,33.52,1317430.00,42495100.00
"Jan 18, 2018",28.88,35.51,25.6,32.91,1528400.00,37435400.00
"Jan 17, 2018",28.75,30.11,20.94,28.58,751546.00,37264000.00
"Jan 16, 2018",39.08,39.08,22.02,28.97,1565370.00,50652900.00
"Jan 15, 2018",45.46,52.25,39.06,39.06,3260030.00,58921900.00
"Jan 14, 2018",53.12,53.12,43.16,46.15,1069050.00,68852000.00
"Jan 13, 2018",42.46,53.19,41.71,52.16,1651270.00,55032100.00
"Jan 12, 2018",42.14,45.89,39.06,44.02,1037880.00,54626300.00
"Jan 11, 2018",48.55,49.64,37.92,41.8,1909610.00,62930100.00
"Jan 10, 2018",47.04,56.37,43.35,49,6762780.00,60977000.00
"Jan 09, 2018",47.51,49.85,43.21,45.17,2434220.00,61581600.00
"Jan 08, 2018",40.86,59.53,38.48,48.65,13689600.00,52961300.00
"Jan 07, 2018",32.33,41.86,31.5,41.86,3964570.00,41899500.00
"Jan 06, 2018",31.69,33.53,29.52,32.35,1994520.00,41084800.00
"Jan 05, 2018",36.08,37.62,30.56,31.55,2973030.00,46783100.00
"Jan 04, 2018",38.19,38.82,35.32,37.48,1969820.00,49512100.00
"Jan 03, 2018",37.72,39.74,34.33,37.99,1963410.00,48902300.00
"Jan 02, 2018",40.96,44.06,34.64,37.62,4444740.00,53113700.00
"Jan 01, 2018",33.81,42.49,31.47,39.87,3185660.00,43841700.00
"Dec 31, 2017",27.98,35.06,26.98,32.97,1772510.00,36283600.00
"Dec 30, 2017",33.08,33.08,25.42,28.77,980391.00,42897600.00
"Dec 29, 2017",36.74,36.99,31.45,33.16,2701510.00,47638900.00
"Dec 28, 2017",34.34,36.17,28.62,34.2,2654990.00,44524700.00
"Dec 27, 2017",32.13,39.17,31.58,34.53,4108750.00,41663800.00
"Dec 26, 2017",34.28,36.04,28.5,32.02,3065750.00,44451500.00
"Dec 25, 2017",27.77,41.01,27.77,34.46,11398800.00,36009700.00
"Dec 24, 2017",25.59,28.42,22.61,27.53,1676120.00,33177300.00
"Dec 23, 2017",23.31,28.68,21.96,26.01,1496370.00,30223600.00
"Dec 22, 2017",30.02,30.82,17.18,23.06,1415950.00,38927400.00
"Dec 21, 2017",27.35,36.12,26.6,29.76,4075520.00,35462600.00
"Dec 20, 2017",27.47,29,23,27.22,1732090.00,35621800.00
"Dec 19, 2017",28.94,33.23,25.92,27.53,3686380.00,37522100.00
"Dec 18, 2017",26.19,31.58,25.3,28.88,2334750.00,33959900.00
"Dec 17, 2017",23.97,27.38,23.78,26.06,1560870.00,31079100.00
"Dec 16, 2017",23.79,25.1,22.52,23.96,659992.00,30852500.00
"Dec 15, 2017",22.78,24.07,20.94,23.26,792173.00,29541800.00
"Dec 14, 2017",23.21,25.11,21.88,22.72,1160180.00,30100200.00
"Dec 13, 2017",23.79,24.14,21.63,23.06,767783.00,30847100.00
"Dec 12, 2017",23.06,24.54,21.5,23.77,875810.00,29904200.00
"Dec 11, 2017",22.38,25.3,21.94,23.09,446697.00,29020900.00
"Dec 10, 2017",22.84,24.12,20.85,22.53,566956.00,29620600.00
"Dec 09, 2017",20.55,27.71,20.32,23.6,1498680.00,26655100.00
"Dec 08, 2017",21.11,21.88,17.72,20.91,631112.00,27378500.00
"Dec 07, 2017",21.07,26,19.26,21.06,2525910.00,27317200.00
"Dec 06, 2017",25.75,26.14,19.98,21.04,1638700.00,33385700.00
"Dec 05, 2017",28.12,30.6,25.37,25.78,1661810.00,36473800.00
"Dec 04, 2017",26.08,30.24,24.02,28.07,1829210.00,33832200.00
"Dec 03, 2017",28.08,28.12,23.98,26.44,1014340.00,36427600.00
"Dec 02, 2017",31.14,31.14,25.49,28.06,2238660.00,40394400.00
"Dec 01, 2017",28.98,36.66,28.19,31.17,5357520.00,37590700.00
"Nov 30, 2017",18.58,35.35,18.29,28.74,12740600.00,24102300.00
"Nov 29, 2017",15.06,43.82,14.81,18.58,15692200.00,19532600.00
"Nov 28, 2017",15.74,16.45,14.19,15.27,268716.00,20425900.00
