Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",32.72,33.41,31.02,31.11,203359000.00,2417680000.00
"Feb 19, 2018",31.41,32.93,31.19,32.66,197224000.00,2321060000.00
"Feb 18, 2018",33.47,33.68,29.97,31.24,181070000.00,2473010000.00
"Feb 17, 2018",33.17,33.69,32.67,33.56,178525000.00,2450940000.00
"Feb 16, 2018",33.03,33.95,31.99,33.02,166522000.00,2440380000.00
"Feb 15, 2018",32.42,33.53,31.91,33.06,222910000.00,2394940000.00
"Feb 14, 2018",30.04,32.62,29.99,32.55,334300000.00,2219240000.00
"Feb 13, 2018",30.21,30.46,28.55,30.11,242714000.00,2231570000.00
"Feb 12, 2018",27.58,30.81,27.58,30.13,212954000.00,2037250000.00
"Feb 11, 2018",30.21,30.21,26.26,27.48,258212000.00,2231910000.00
"Feb 10, 2018",30.83,34.59,29.09,30.27,421275000.00,2277460000.00
"Feb 09, 2018",27.79,31.59,25.98,31.16,618154000.00,2052790000.00
"Feb 08, 2018",21.95,27.38,21.95,26.48,276759000.00,1621640000.00
"Feb 07, 2018",24.09,24.53,20.99,21.78,238850000.00,1779020000.00
"Feb 06, 2018",20.93,24.32,16.67,24.05,386634000.00,1545600000.00
"Feb 05, 2018",26.24,26.76,19.64,20.54,200730000.00,1937850000.00
"Feb 04, 2018",29.72,30.68,25.38,26.19,219327000.00,2195080000.00
"Feb 03, 2018",30.39,31.62,25.77,29.93,305047000.00,2244470000.00
"Feb 02, 2018",35.56,35.56,22.31,30.26,566508000.00,2626060000.00
"Feb 01, 2018",42.1,42.1,34.71,35.68,371498000.00,3108800000.00
"Jan 31, 2018",37.3,42.38,34.62,42.12,437472000.00,2754250000.00
"Jan 30, 2018",43.6,43.64,36.71,37.33,275840000.00,3219350000.00
"Jan 29, 2018",43.84,45.51,42.33,43.41,412998000.00,3236940000.00
"Jan 28, 2018",39.74,44.08,39.74,43.76,346952000.00,2934440000.00
"Jan 27, 2018",39.77,40.48,38.15,39.58,228016000.00,2936640000.00
"Jan 26, 2018",40.41,41.73,35.83,39.7,378512000.00,2983480000.00
"Jan 25, 2018",40.93,41.98,39.68,40.72,330419000.00,3021830000.00
"Jan 24, 2018",39.05,42.4,38.25,40.51,412605000.00,2883110000.00
"Jan 23, 2018",40.03,41.09,35.62,39.15,455691000.00,2955640000.00
"Jan 22, 2018",43.19,43.95,36.59,39.97,665031000.00,3188600000.00
"Jan 21, 2018",51.71,51.79,40.91,42.82,1472770000.00,3817440000.00
"Jan 20, 2018",39.22,51.26,39.11,51.26,1389340000.00,2895050000.00
"Jan 19, 2018",36.97,41.46,36.19,39.19,594885000.00,2728690000.00
"Jan 18, 2018",36.05,39.91,34.23,37.37,731389000.00,2661040000.00
"Jan 17, 2018",35.54,37.99,27.63,36.47,1005590000.00,2623560000.00
"Jan 16, 2018",52.23,52.23,28.97,36.03,976913000.00,3855430000.00
"Jan 15, 2018",54.07,58.28,52.18,52.58,1558480000.00,3990880000.00
"Jan 14, 2018",54.83,55.07,48.35,54.08,758722000.00,4046680000.00
"Jan 13, 2018",50.45,56.27,50.37,54.7,881216000.00,3723670000.00
"Jan 12, 2018",46.01,51.92,44.42,50.41,764812000.00,3395810000.00
"Jan 11, 2018",53.65,53.83,43.68,45.75,732454000.00,3959310000.00
"Jan 10, 2018",53.42,56.36,49.9,54.08,853001000.00,3942310000.00
"Jan 09, 2018",55.78,58.38,52.09,53.21,837431000.00,4116560000.00
"Jan 08, 2018",86.17,89.11,49.96,55.98,1023570000.00,6358230000.00
"Jan 07, 2018",94.06,106.88,83.57,85.77,1707140000.00,6940930000.00
"Jan 06, 2018",62.95,105.41,59.95,94.67,1998570000.00,4644760000.00
"Jan 05, 2018",57.39,70.89,54.79,62.7,1356740000.00,4234740000.00
"Jan 04, 2018",59.06,61.48,55.95,57.47,744457000.00,4357860000.00
"Jan 03, 2018",60.54,61.01,57.29,59.09,673650000.00,4466390000.00
"Jan 02, 2018",61.19,62.46,59.75,60.72,597468000.00,4514720000.00
"Jan 01, 2018",62.31,64.08,59.87,60.88,708818000.00,4597210000.00
"Dec 31, 2017",60.2,65.01,59.2,62.4,690938000.00,4441130000.00
"Dec 30, 2017",58.68,67.69,54.36,60.49,1203780000.00,4329060000.00
"Dec 29, 2017",56.35,60.47,53.33,58.71,876085000.00,4156560000.00
"Dec 28, 2017",54.44,56.64,46.41,56.23,838698000.00,4015530000.00
"Dec 27, 2017",55.76,56.39,52.72,54.11,539542000.00,4113280000.00
"Dec 26, 2017",58.22,59.99,55.42,55.95,652554000.00,4294180000.00
"Dec 25, 2017",54,59.79,51.23,58.09,976115000.00,3982900000.00
"Dec 24, 2017",56.71,57.37,49,53.64,692470000.00,4182730000.00
"Dec 23, 2017",50.84,60.2,50.71,57.26,913925000.00,3749710000.00
"Dec 22, 2017",63.27,63.27,36.35,49.48,1101630000.00,4665870000.00
"Dec 21, 2017",63.82,69.24,56.87,62.23,905593000.00,4706660000.00
"Dec 20, 2017",67.72,69.07,57.71,63.64,1025680000.00,4994350000.00
"Dec 19, 2017",51.96,77.75,51.3,67.75,2134470000.00,3831880000.00
"Dec 18, 2017",29.66,56.06,27.84,51.85,2427870000.00,2187330000.00
"Dec 17, 2017",29.19,30.3,28.63,29.62,399361000.00,2152090000.00
"Dec 16, 2017",30.15,31.53,28.48,29,609254000.00,2222900000.00
"Dec 15, 2017",20.68,32.65,17.69,30.54,1227400000.00,1524900000.00
"Dec 14, 2017",17.16,20.63,17.02,20.48,389613000.00,1264910000.00
"Dec 13, 2017",14.81,19.29,14.8,17.31,541413000.00,1091760000.00
"Dec 12, 2017",13.57,15.12,13.28,14.76,253559000.00,1000140000.00
"Dec 11, 2017",11.02,14.6,11,13.55,218917000.00,812116000.00
"Dec 10, 2017",12.09,12.09,10.74,11.05,106888000.00,891217000.00
"Dec 09, 2017",12.77,12.77,11.54,12.08,124125000.00,941021000.00
"Dec 08, 2017",12.53,13.06,11.99,12.79,153972000.00,923477000.00
"Dec 07, 2017",11.95,14.93,11.67,12.56,262721000.00,880877000.00
"Dec 06, 2017",13.12,13.14,11.86,11.96,136931000.00,967196000.00
"Dec 05, 2017",13.69,13.95,13.08,13.08,106446000.00,1009240000.00
"Dec 04, 2017",13.15,14,12.68,13.62,139016000.00,968910000.00
