Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",9.91,10.17,9.02,9.13,21055000.00,978923000.00
"Feb 19, 2018",9.26,10.18,9.1,9.95,22415800.00,914001000.00
"Feb 18, 2018",9.76,9.78,8.82,9.26,14139400.00,963499000.00
"Feb 17, 2018",9.53,9.95,9.42,9.76,19415600.00,940978000.00
"Feb 16, 2018",9.5,9.79,9,9.56,14430300.00,938100000.00
"Feb 15, 2018",9.26,9.76,9.08,9.54,23848900.00,914277000.00
"Feb 14, 2018",7.91,9.74,7.91,9.36,47682600.00,780623000.00
"Feb 13, 2018",7.93,8.24,7.55,7.95,17510200.00,782976000.00
"Feb 12, 2018",7.03,7.98,7.03,7.9,10176500.00,694445000.00
"Feb 11, 2018",7.84,7.84,6.61,6.99,9233680.00,774245000.00
"Feb 10, 2018",8.26,8.86,7.19,7.86,20070700.00,815645000.00
"Feb 09, 2018",7.31,8.22,6.95,8.21,12699200.00,721390000.00
"Feb 08, 2018",6.42,7.36,6.42,7.35,12229100.00,634084000.00
"Feb 07, 2018",6.83,7.53,6.15,6.49,13130400.00,674637000.00
"Feb 06, 2018",6.09,7.12,4.75,6.86,17572200.00,600848000.00
"Feb 05, 2018",7.94,8.15,5.63,6.09,14262200.00,783473000.00
"Feb 04, 2018",9.66,9.79,7.43,7.99,14448100.00,953494000.00
"Feb 03, 2018",9.4,10.19,8.34,9.66,11740300.00,928058000.00
"Feb 02, 2018",10.1,10.1,7.16,9.33,25720900.00,996957000.00
"Feb 01, 2018",12.36,12.87,9.5,10.15,23587600.00,1220310000.00
"Jan 31, 2018",11.99,12.78,11.12,12.29,25649400.00,1183220000.00
"Jan 30, 2018",14.87,14.87,11.76,11.97,25695100.00,1467940000.00
"Jan 29, 2018",14.62,14.9,13.73,14.82,29743800.00,1443430000.00
"Jan 28, 2018",14.45,15.16,14.21,14.64,34283400.00,1426250000.00
"Jan 27, 2018",13.46,15.39,13.18,14.42,117059000.00,1329110000.00
"Jan 26, 2018",12.64,14.13,11.22,13.37,55387300.00,1247740000.00
"Jan 25, 2018",12.84,13.14,12.11,12.68,18111100.00,1267800000.00
"Jan 24, 2018",12.37,13.02,11.94,12.64,23016500.00,1221140000.00
"Jan 23, 2018",11.55,13.29,10.96,12.46,39676300.00,1140180000.00
"Jan 22, 2018",13.43,14.06,10.85,11.73,32543500.00,1325880000.00
"Jan 21, 2018",16.06,16.06,12.82,13.29,34303600.00,1584850000.00
"Jan 20, 2018",14.98,16.46,14.97,16.1,56670600.00,1478350000.00
"Jan 19, 2018",14.41,15.94,13.91,14.84,36179600.00,1422830000.00
"Jan 18, 2018",14.84,16.2,13.51,14.59,45599200.00,1464610000.00
"Jan 17, 2018",14.93,15.63,10.66,14.74,55399600.00,1473570000.00
"Jan 16, 2018",20.85,20.85,11.87,14.94,82425800.00,2058280000.00
"Jan 15, 2018",19.67,22.2,19.33,20.81,136719000.00,1941050000.00
"Jan 14, 2018",19.94,20.16,17.62,19.93,29952500.00,1967980000.00
"Jan 13, 2018",18.62,20.35,18.53,19.96,29031000.00,1838120000.00
"Jan 12, 2018",16.18,20,15.58,18.69,39309600.00,1596910000.00
"Jan 11, 2018",19.26,19.4,14.82,16.09,41010200.00,1901060000.00
"Jan 10, 2018",19.35,19.63,17.18,19.24,38332900.00,1909330000.00
"Jan 09, 2018",21.94,21.94,18.84,19.53,66024900.00,2164950000.00
"Jan 08, 2018",17.03,22.66,17.03,21.75,167018000.00,1680520000.00
"Jan 07, 2018",16.07,17.86,15.91,17.05,39299000.00,1586140000.00
"Jan 06, 2018",15.1,16.82,14.82,16.19,40643800.00,1490410000.00
"Jan 05, 2018",16,16.2,14.41,15.19,58967300.00,1578710000.00
"Jan 04, 2018",16.84,17.24,15.15,16.06,58863100.00,1662060000.00
