Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",8.1,8.49,7.94,8.03,46087500.00,810038000.00
"Feb 19, 2018",7.54,8.15,7.44,8.1,37813100.00,753733000.00
"Feb 18, 2018",7.84,8.09,7.13,7.54,40081300.00,784044000.00
"Feb 17, 2018",7.88,7.96,7.63,7.84,34458200.00,788332000.00
"Feb 16, 2018",8,8.36,7.49,7.9,44143700.00,800093000.00
"Feb 15, 2018",6.42,8.07,6.38,8.07,61670200.00,641992000.00
"Feb 14, 2018",5.59,6.44,5.58,6.42,20068500.00,558952000.00
"Feb 13, 2018",5.74,5.76,5.4,5.6,17030400.00,574298000.00
"Feb 12, 2018",5.49,5.89,5.49,5.72,20167600.00,548602000.00
"Feb 11, 2018",5.72,5.72,5.01,5.45,21599600.00,571865000.00
"Feb 10, 2018",6.06,6.32,5.47,5.72,29552400.00,606151000.00
"Feb 09, 2018",5.6,6.09,5.3,6.04,24332800.00,559784000.00
"Feb 08, 2018",4.92,6,4.92,5.58,31567200.00,492456000.00
"Feb 07, 2018",5.01,5.66,4.59,4.97,16135000.00,501033000.00
"Feb 06, 2018",4.54,5.15,3.66,5.06,20248500.00,453888000.00
"Feb 05, 2018",5.71,5.95,4.36,4.54,22395200.00,571019000.00
"Feb 04, 2018",6.64,6.75,5.57,5.74,25765100.00,663752000.00
"Feb 03, 2018",6.21,6.85,5.74,6.63,23023200.00,621154000.00
"Feb 02, 2018",6.65,6.65,5.35,6.2,26726300.00,664536000.00
"Feb 01, 2018",7.7,7.79,6.35,6.67,27774000.00,769864000.00
"Jan 31, 2018",7.63,7.93,7.24,7.68,27535700.00,762709000.00
"Jan 30, 2018",8.71,8.78,7.52,7.61,29051000.00,870974000.00
"Jan 29, 2018",9.19,9.3,8.54,8.71,33554900.00,918718000.00
"Jan 28, 2018",9.17,9.53,9.02,9.2,34527300.00,916626000.00
"Jan 27, 2018",8.95,9.46,8.86,9.11,39528900.00,894906000.00
"Jan 26, 2018",9.04,9.36,8.32,8.96,34796200.00,903952000.00
"Jan 25, 2018",8.92,9.23,8.72,9.06,38346500.00,891993000.00
"Jan 24, 2018",8.2,8.94,7.97,8.81,45927300.00,819666000.00
"Jan 23, 2018",8.28,8.57,7.73,8.2,37418900.00,828237000.00
"Jan 22, 2018",8.38,8.65,7.59,8.3,30657000.00,838233000.00
"Jan 21, 2018",9.65,9.72,8.06,8.27,36459600.00,964861000.00
"Jan 20, 2018",8.88,9.82,8.88,9.6,51892200.00,888259000.00
"Jan 19, 2018",8.51,9.38,8.21,8.78,45279300.00,850897000.00
"Jan 18, 2018",8.48,10.05,7.95,8.6,35228000.00,847572000.00
"Jan 17, 2018",8.36,8.83,6.68,8.09,86632300.00,835624000.00
"Jan 16, 2018",10.83,10.92,7.08,8.39,42325600.00,1083460000.00
"Jan 15, 2018",11.02,11.47,10.7,10.77,47209300.00,1102430000.00
"Jan 14, 2018",11.85,11.86,10.5,11.09,46611100.00,1184520000.00
"Jan 13, 2018",11.35,12.15,11.33,11.83,42000200.00,1134720000.00
"Jan 12, 2018",10.78,11.76,10.46,11.34,43342800.00,1078330000.00
"Jan 11, 2018",12.65,12.65,9.98,10.71,46240500.00,1265240000.00
"Jan 10, 2018",13.04,13.04,11.41,12.74,62348700.00,1303830000.00
"Jan 09, 2018",13.53,14.11,12.55,12.99,62959200.00,1353300000.00
"Jan 08, 2018",12.85,13.73,11.57,13.63,72190300.00,1284770000.00
"Jan 07, 2018",12.87,13.53,12.27,12.95,56240800.00,1287400000.00
"Jan 06, 2018",12.02,13.07,11.44,12.86,59738700.00,1201900000.00
"Jan 05, 2018",12.45,13.25,11.77,12.06,65668300.00,1245140000.00
"Jan 04, 2018",13.06,13.1,11.87,12.54,65343400.00,1306410000.00
"Jan 03, 2018",13.32,13.73,12.55,12.99,53810900.00,1331820000.00
"Jan 02, 2018",12.54,13.38,12.33,13.35,61136300.00,1253640000.00
"Jan 01, 2018",12.63,12.7,11.77,12.57,43302300.00,1262600000.00
"Dec 31, 2017",11.7,12.8,11.54,12.6,50113900.00,1169780000.00
"Dec 30, 2017",13.64,13.79,10.95,11.81,49173200.00,1363620000.00
"Dec 29, 2017",12.87,14.03,12.44,13.64,64926900.00,1286750000.00
"Dec 28, 2017",13.58,13.62,11.73,12.71,48273000.00,1358300000.00
"Dec 27, 2017",14.32,14.43,13.18,13.58,54343300.00,1432160000.00
"Dec 26, 2017",14.31,15.15,13.68,14.2,65504500.00,1431340000.00
"Dec 25, 2017",13.93,14.46,13.13,14.28,65545300.00,1393480000.00
"Dec 24, 2017",14.47,14.54,12.25,13.81,59222600.00,1447000000.00
"Dec 23, 2017",12.67,15.79,12.48,14.27,88401100.00,1267050000.00
"Dec 22, 2017",16.14,16.42,9.82,12.52,71699500.00,1613900000.00
"Dec 21, 2017",15.29,16.53,14.54,16.03,90875600.00,1529020000.00
"Dec 20, 2017",16.02,16.26,13.9,15.21,81905700.00,1602310000.00
"Dec 19, 2017",15.63,18.07,14.51,15.89,114641000.00,1563340000.00
"Dec 18, 2017",13.63,15.72,13.09,15.61,102357000.00,1363160000.00
"Dec 17, 2017",13.39,14.16,13.17,13.54,64376200.00,1339200000.00
"Dec 16, 2017",13.56,13.73,12.81,13.4,69311000.00,1355530000.00
"Dec 15, 2017",13.55,14.08,11.76,13.09,95357500.00,1354620000.00
"Dec 14, 2017",13.56,14.02,12.43,13.64,55002000.00,1355560000.00
"Dec 13, 2017",15.23,15.62,13.5,13.65,75995500.00,1523380000.00
"Dec 12, 2017",11.23,15.2,10.89,14.86,103848000.00,1122860000.00
"Dec 11, 2017",9.73,11.33,9.65,11.22,74140500.00,972864000.00
"Dec 10, 2017",8.76,10.46,7.6,9.76,57336900.00,875585000.00
"Dec 09, 2017",8.41,9.87,7.86,8.72,47394900.00,841212000.00
"Dec 08, 2017",8.71,8.73,7.43,8.4,45781100.00,871406000.00
"Dec 07, 2017",8.52,9.5,8.01,8.52,61751500.00,852136000.00
"Dec 06, 2017",7.38,8.43,6.93,8.43,52074900.00,738347000.00
"Dec 05, 2017",6.69,7.68,6.62,7.43,40875800.00,668740000.00
"Dec 04, 2017",6.21,6.69,6.03,6.69,30419300.00,620558000.00
"Dec 03, 2017",6.09,6.6,5.84,6.2,33036700.00,609449000.00
"Dec 02, 2017",5.79,6.43,5.75,6.11,30325700.00,579354000.00
"Dec 01, 2017",4.84,5.8,4.61,5.8,26090100.00,483939000.00
"Nov 30, 2017",5.23,5.33,4.39,4.88,25549500.00,523239000.00
"Nov 29, 2017",5.91,6.16,4.97,5.17,30996500.00,590960000.00
"Nov 28, 2017",5.62,5.93,5.56,5.93,26201500.00,562374000.00
"Nov 27, 2017",5.67,5.78,5.48,5.65,25029600.00,567162000.00
"Nov 26, 2017",5.36,5.79,5.35,5.68,25667300.00,535981000.00
"Nov 25, 2017",5.22,5.37,5.13,5.35,20520600.00,521531000.00
"Nov 24, 2017",5.19,5.27,5.03,5.23,22424900.00,519100000.00
"Nov 23, 2017",5.29,5.34,5.18,5.19,21305100.00,529435000.00
"Nov 22, 2017",5.2,5.57,5.16,5.29,26343100.00,519834000.00
"Nov 21, 2017",5.26,5.28,4.99,5.19,23353900.00,525616000.00
"Nov 20, 2017",5.13,5.42,5.06,5.27,22272000.00,512582000.00
"Nov 19, 2017",5.28,5.47,5.02,5.12,20869400.00,528278000.00
"Nov 18, 2017",4.77,5.42,4.65,5.3,26020400.00,476545000.00
"Nov 17, 2017",4.75,4.97,4.61,4.78,18777000.00,474592000.00
"Nov 16, 2017",5.07,5.1,4.71,4.76,24087100.00,506504000.00
"Nov 15, 2017",5.05,5.27,4.8,5.05,25851400.00,505269000.00
"Nov 14, 2017",4.4,5.09,4.38,5.03,19374900.00,439602000.00
"Nov 13, 2017",3.69,4.48,3.69,4.4,12493200.00,369368000.00
"Nov 12, 2017",4.1,4.13,3.57,3.7,12279900.00,410250000.00
"Nov 11, 2017",4.23,4.46,4.04,4.12,12304600.00,422815000.00
"Nov 10, 2017",4.92,5.03,4.09,4.24,14425500.00,491960000.00
"Nov 09, 2017",4.51,5.22,4.47,4.91,20982300.00,450694000.00
"Nov 08, 2017",3.68,4.82,3.67,4.5,20540000.00,368185000.00
"Nov 07, 2017",3.52,3.72,3.42,3.69,11312200.00,352178000.00
"Nov 06, 2017",3.46,3.65,3.36,3.52,12291000.00,345746000.00
"Nov 05, 2017",3.61,3.62,3.39,3.45,9798490.00,360517000.00
"Nov 04, 2017",3.65,3.79,3.44,3.62,11619500.00,365254000.00
"Nov 03, 2017",3.21,3.97,3.02,3.68,14090800.00,320550000.00
"Nov 02, 2017",2.92,3.95,2.65,3.19,14949200.00,292033000.00
"Nov 01, 2017",3.23,3.23,2.67,2.89,11933800.00,323419000.00
"Oct 31, 2017",3.47,3.5,3.17,3.24,9895450.00,347320000.00
"Oct 30, 2017",3.55,3.61,3.43,3.48,8523780.00,355140000.00
"Oct 29, 2017",3.46,3.64,3.45,3.54,9046840.00,345825000.00
"Oct 28, 2017",3.54,3.6,3.45,3.46,8103840.00,354417000.00
"Oct 27, 2017",3.62,3.68,3.52,3.54,6714780.00,362311000.00
"Oct 26, 2017",3.72,3.79,3.54,3.62,8321870.00,371705000.00
"Oct 25, 2017",3.76,3.77,3.48,3.7,8533500.00,376245000.00
"Oct 24, 2017",3.67,3.98,3.59,3.76,8703160.00,366774000.00
"Oct 23, 2017",3.58,3.71,3.35,3.67,8621370.00,358001000.00
"Oct 22, 2017",3.58,3.66,3.47,3.58,8491900.00,358200000.00
"Oct 21, 2017",3.64,3.76,3.43,3.58,10666600.00,364477000.00
"Oct 20, 2017",3.89,3.97,3.63,3.66,10830100.00,389091000.00
"Oct 19, 2017",4.04,4.12,3.8,3.89,8840030.00,404068000.00
"Oct 18, 2017",3.93,4.1,3.66,4.04,7283440.00,392635000.00
